"name","county"
"Sobrance","Košický"
"Stropkov","Prešovský"
"Prievidza","Trenčiansky"
"Detva","Banskobystrický"
"Dunajská Streda","Trnavský"
"Komárno","Nitriansky"
"Rimavská Sobota","Banskobystrický"
"Topoľčany","Nitriansky"
"Piešťany","Trnavský"
"Spišská Nová Ves","Košický"
"Partizánske","Trenčiansky"
"Tvrdošín","Žilinský"
"Kysucké Nové Mesto","Žilinský"
"Malacky","Bratislavský"
"Žiar nad Hronom","Banskobystrický"
"Michalovce","Košický"
"Gelnica","Košický"
"Žarnovica","Banskobystrický"
"Snina","Prešovský"
"Turčianske Teplice","Žilinský"
"Košice","Košický"
"Pezinok","Bratislavský"
"Galanta","Trnavský"
"Banská Bystrica","Banskobystrický"
"Bratislava","Bratislavský"
"Hlohovec","Trnavský"
"Stará Ľubovňa","Prešovský"
"Revúca","Banskobystrický"
"Bánovce nad Bebravou","Trenčiansky"
"Čadca","Žilinský"
"Nové Mesto nad Váhom","Trenčiansky"
"Trebišov","Košický"
"Trenčín","Trenčiansky"
"Kežmarok","Prešovský"
"Veľký Krtíš","Banskobystrický"
"Humenné","Prešovský"
"Nitra","Nitriansky"
"Námestovo","Žilinský"
"Trnava","Trnavský"
"Liptovský Mikuláš","Žilinský"
"Levice","Nitriansky"
"Dolný Kubín","Žilinský"
"Bytča","Žilinský"
"Nové Zámky","Nitriansky"
"Medzilaborce","Prešovský"
"Brezno","Banskobystrický"
"Levoča","Prešovský"
"Považská Bystrica","Trenčiansky"
"Krupina","Banskobystrický"
"Ružomberok","Žilinský"
"Skalica","Trnavský"
"Košice okolie","Košický"
"Lučenec","Banskobystrický"
"Svidník","Prešovský"
"Senec","Bratislavský"
"Poprad","Prešovský"
"Bardejov","Prešovský"
"Púchov","Trenčiansky"
"Banská Štiavnica","Banskobystrický"
"Zvolen","Banskobystrický"
"Vranov nad Topľou","Prešovský"
"Rožňava","Košický"
"Sabinov","Prešovský"
"Šaľa","Nitriansky"
"Zlaté Moravce","Nitriansky"
"Senica","Trnavský"
"Ilava","Trenčiansky"
"Poltár","Banskobystrický"
"Žilina","Žilinský"
"Martin","Žilinský"
"Prešov","Prešovský"
"Myjava","Trenčiansky"
